year_key,quarter_key,price_index,historical_avg,market_standing
2021,4,94.33481717,134.946016719214,"Below Average"
2023,1,98.80913462,134.946016719214,"Below Average"
2021,2,123.50700110,134.946016719214,"Below Average"
2020,2,98.33702754,134.946016719214,"Below Average"
2021,3,183.26145030,134.946016719214,"Above Average"
2023,4,104.16537540,134.946016719214,"Below Average"
2020,4,99.15244418,134.946016719214,"Below Average"
2022,3,126.50340940,134.946016719214,"Below Average"
2020,3,97.84116329,134.946016719214,"Below Average"
2022,1,127.42783830,134.946016719214,"Below Average"
2024,2,133.29773470,134.946016719214,"Below Average"
2021,2,167.31630660,134.946016719214,"Above Average"
2023,4,150.09517910,134.946016719214,"Above Average"
2024,4,208.72359290,134.946016719214,"Above Average"
2020,2,88.91497913,134.946016719214,"Below Average"
2024,2,254.26919240,134.946016719214,"Above Average"
2023,4,158.82510050,134.946016719214,"Above Average"
2021,4,117.92689810,134.946016719214,"Below Average"
2024,4,162.09621180,134.946016719214,"Above Average"
2021,1,99.35608284,134.946016719214,"Below Average"
2021,4,109.09435850,134.946016719214,"Below Average"
2021,1,96.66097828,134.946016719214,"Below Average"
2024,1,155.67219870,134.946016719214,"Above Average"
2024,4,224.07692940,134.946016719214,"Above Average"
2023,2,148.95394560,134.946016719214,"Above Average"
2023,3,149.70840880,134.946016719214,"Above Average"
2022,1,94.06300610,134.946016719214,"Below Average"
2021,4,108.19830530,134.946016719214,"Below Average"
2023,4,150.45376090,134.946016719214,"Above Average"
2024,1,178.01738430,134.946016719214,"Above Average"
2020,3,93.07120538,134.946016719214,"Below Average"
2022,3,129.55106220,134.946016719214,"Below Average"
2022,4,126.25465660,134.946016719214,"Below Average"
2020,4,93.66125794,134.946016719214,"Below Average"
2023,1,143.78453460,134.946016719214,"Above Average"
2023,3,232.91297090,134.946016719214,"Above Average"
2024,1,241.73216170,134.946016719214,"Above Average"
2023,1,130.58846250,134.946016719214,"Below Average"
2022,1,168.15291870,134.946016719214,"Above Average"
2023,4,176.65557730,134.946016719214,"Above Average"
2020,1,102.56283150,134.946016719214,"Below Average"
2024,3,204.88343250,134.946016719214,"Above Average"
